159,moby_dick_(1978_film),john_phillips_(cricketer),bob_williams_(politician)
160,goodwin,johnson,thompson
161,lesbian,gay,hiv/aids
162,ford_foundation,the_institute,research_institute
163,learning,lifelong_learning,service-learning
164,book,john_steinbeck,book_review
165,we,day,a_few_days_later
166,william_shakespeare,shakespeare_(surname),romeo_and_juliet_(films)
167,getty_foundation,community_foundation,new_york_foundation
168,year,13_years,five_years
169,california,california_state_university,northern_california
170,youth,ageing,old_age
171,island,harbor,warship
172,panel_discussion,academic_conference,presentation
173,samuel_taylor_(american_football),bob_fisher_(baseball),brian_williams_(linebacker)
174,new_york_city,new_york_university,ravenna
175,african_americans,white_american,african-american_literature
176,weather,summer,day
177,internet,digital_content,social_media
178,performing_arts_presenters,center_theatre_group,performing_arts_center
179,national_book_award,pulitzer_prize,literary_award
180,is_survived_by,lucius_vibullius_hipparchus_(grandson_of_herodes_atticus),death
181,the_westchester,hudson_valley,hudson_river
182,saturday,pm,day
183,student,residential_college,university_college
184,air_force,airborne_forces,special_forces
185,local_community,community_participation,project
186,bronze_sculpture,stone_sculpture,roman_sculpture
187,obstruction_of_justice,jury_trial,miscarriage_of_justice
188,white_house,hillary_clinton,bill_clinton
189,town,valley,township
190,political_culture,politics,multiculturalism
191,film_festival,film,a_movie
192,from_the_airport,travel_agency,international_airport
193,university,fudan_university,public_university
194,street,art_museum,the_museum
195,oklahoma_city,oklahoma_city_university,university_of_central_oklahoma
196,scientist,science,the_sciences
197,education,higher_education,college
198,guggenheim_fellowship,david_rockefeller,andrew_w._mellon_foundation
199,house,housing_estate,residential_area
200,teacher,teacher_education,school
201,gardening,kew_gardens,walled_garden
202,north_dakota,north_dakota_state_university,university_of_north_dakota
203,television_station,television,ion_television
204,the_president,columbia_university,cultural_center
205,however,yet,on_the_other_hand
206,price,house_prices,market_price
207,art_in_america,the_arts,art_world
208,concerto,piano_concerto,chamber_music
209,my,make_it,we
210,vaccine,hiv_vaccine,mmr_vaccine
211,design,interior_design,modern_furniture
212,university,yale_university,rutgers_university
213,at_the_time,originally,it_was
214,literary_criticism,english_literature,british_literature
215,philadelphia,george_washington_university,boston
216,business_administration,bachelor_of_business_administration,information_science
217,samuel_beckett,o'brien,james_joyce
218,freedom_of_the_press,politics,freedom_of_religion
219,university_of_california,stanford_university,princeton_university
220,two_weeks,larry,bill_carr_(coach)
221,archive,publishing,research
222,music,folk_music,pop_music
223,west_broadway,95th_street_(manhattan),59th_street_(manhattan)
224,europe,italians,spain
