0,photograph,photography,photographer
1,minority_group,affirmative_action,white_people
2,homelessness,emergency_shelter,affordable_housing
3,human_brain,human,human_genome
4,executive_director,committee,president
5,track_and_field,sports_club,team
6,allen_toussaint,hurricane_katrina,the_orleans
7,new_york_public_library,public_library,librarian
8,addition,time,five_years
9,british_empire,london,great_britain
10,ralph_waldo_emerson,ralph_thompson,ellis
11,wife,son,his_family
12,smithsonian_american_art_museum,art_museum,smithsonian_institution
13,football_team,national_football_league,basketball
14,man,hero,love
15,answer,knowledge,critical_thinking
16,jefferson_lecture,lecture,george_washington_university
17,i,we,nothing
18,house_of_representatives,united_states_senate,kansas_senate
19,spain,z̼̱iga,madrid
20,seventh_grade,eighth_grade,ninth_grade
21,room,floor,dining_room
22,middle_school,school,education
23,national_committee,chairman,administration_committee
24,day_camp,summer,day
25,duke_university,university_of_michigan,ohio_university
26,student,college,school
27,salt_lake_city,denver,colorado_river
28,money,income_tax,taxable_income
29,sheet_metal,wooden_box,cardboard_box
30,apollo_program,mars,apollo_11
31,indian_people,tribal_chief,tribe
32,yale_university,connecticut_river,university_of_connecticut
33,ancient_greece,classical_greece,ancient_rome
34,constitution,state_court_(united_states),civil_liberties
35,fast_food,seafood,meat
36,nuclear_physics,quantum_field_theory,physics
37,israel,palestinians,palestinian_territories
38,light_blue,black,white
39,drama,comedy_film,the_drama
40,experience,sense,common_sense
41,clinton_foundation,raise,money
42,ross,ellis,martin
43,brooklyn,queens,new_york_city
44,politics,conservative_party_(uk),political_party
45,david_johnson_(ohio_politician),michael,charles
46,long_island_sound,staten_island,brooklyn
47,year,jim_thorpe_award,world_award
48,tours,museum,art_exhibition
49,liberal_arts_college,college,curriculum
50,clark,jennings,baker
51,president,vice_president,board_of_directors
52,community_college,university_college,education
53,charles,martin,samuel
54,husband,wife,state_funeral
55,street,cultural_center,figueroa_street
56,graduate_school,undergraduate_degree,academic_degree
57,visual_arts,fine_art,artist
58,martin_luther,pope,pope_francis
59,chicago,central_illinois,southern_illinois
60,tony_randall,emma_stone,irene_cara
61,university_of_washington,downtown_seattle,washington_state_university
62,father,daughter,son
63,united_states_federal_budget,budget,100_million
64,analytic_philosophy,philosophy_of_mind,history_of_philosophy
65,mechanical_engineering,systems_engineering,civil_engineering
66,performing_arts_center,performing_arts,museum
67,medical_ethics,business_ethics,applied_ethics
68,credit_card,debit_card,cards_(ios)
69,east_germany,europe,eastern_europe
70,mrs.,gerald,sarah
71,organization,non-governmental_organization,nonprofit_organization
72,islam,islamic_state_of_iraq,shia_islam
73,president,chairman,vice_president
74,book_series,university_press,book
75,montclair_state_university,rutgers_university,pennsylvania_state_university
76,library,digital_library,carnegie_library
77,female,feminist_movement,woman
78,historian,social_history,ancient_history
79,time,longer,last
80,theodore_roosevelt,north_dakota,franklin_d._roosevelt
81,public_policy,education_policy,social_policy
82,new_york_city,new_york,he
83,michelle_obama,counselor_to_the_president,democratic_national_committee
84,higher_education,university,private_university
85,university_of_maine,coleraine,bristol
86,god,human_nature,world_view
87,slavery,history_of_slavery,thomas_jefferson
88,architecture,construction,modern_architecture
89,west_virginia,northern_virginia,the_virginia
90,mexico,latin_america,el_salvador
91,time,20th_century,at_the_time
92,modern_dance,american_ballet_theatre,dance
93,personal_computer,computer_hardware,home_computer
94,maryland,southern_maryland,downtown_baltimore
95,united_methodist_church,united_reformed_church,parish_church
96,political_party,election,candidate
97,government_agency,national_security,public_health
98,at_the_time,even_though,he_said
99,johnson,thompson,louis_johnson_(politician)
100,corporate_tax,corporate_governance,corporate_social_responsibility
101,nation_state,americans,nation
102,doctor_of_education,doctor_of_science,doctor_of_law
103,john_hayes_(australian_politician),sutton,stewart
104,governor,state_attorney_general,state_government
105,poetry_reading,science_fiction,creative_nonfiction
106,henry_adams_(american_football),owens,hopkins
107,metropolitan_opera,opera,grand_opera
108,south_carolina,university_of_georgia,georgia_state_university
109,writing,on_writing,reading_comprehension
110,liberty_monument,robert_e._lee,battle_monument
111,mother,father,husband
112,police,police_officer,the_police
113,thomas_jefferson,theodore_roosevelt,eleanor_roosevelt
114,idaho,utah,weber_state_university
115,government_spending,inflation,economic_growth
116,social_science,linguistics,language
117,bread,meat,breakfast
118,controversy,debate,public_debate
119,main_street,building,street
120,child,mother,extended_family
121,energy_development,water,renewable_energy
122,homosexuality,human_sexuality,sexual_orientation
123,high_school,test_score,medical_college_admission_test
124,information_science,national_institutes_of_health,primary_research
125,a_decade,time,nearly
126,second_husband,daughter,mr.
127,education,vocational_education,postgraduate_education
128,yale_university,connecticut_river,the_hartford
129,humanities,cultural_center,cultural_policy
130,medicine,patient,history_of_medicine
131,social_psychology,psychology,longitudinal_study
132,utility_player,sports_game,good_game
133,book,writing,author
134,new_york_university,professor,cornell_university
135,dress_shirt,long_hair,clothing
136,catholic_church,christian_church,religion
137,art_exhibition,painting,art_museum
138,alcohol_abuse,drug,addiction
139,harvard_university,princeton_university,boston_university
140,le_monde,le_temps,le_figaro
141,chief_executive_officer,management,corporate_finance
142,india,asia,overseas_chinese
143,culture,experience,everyday_life
144,jews,yiddish,the_holocaust
145,psychology,analytical_psychology,clinical_psychology
146,modernism,art_critic,art_criticism
147,national_day,anniversary,national_folk_festival_(uk)
148,harvard_university,university,research
149,husband,wife,sister
150,woodrow_wilson,the_president,joe_biden
151,law_school,lawyer,law
152,piano_(wynton_kelly_album),overdubbing,violin
153,random_house,penguin_random_house,penguin_group
154,friends,life,a_story
155,military_history,world_war_ii,military
156,matter,question,we
157,russia,russian_empire,moscow
158,city_council,city_district,city
159,moby_dick_(1978_film),bob_williams_(politician),doug
160,johnson,goodwin,thompson
161,lesbian,gay,gay_icon
162,ford_foundation,columbia_university,research_institute
163,learning,lifelong_learning,critical_thinking
164,book,john_steinbeck,mark_twain
165,day,we,interview
166,william_shakespeare,romeo_and_juliet_(films),romeo_and_juliet_(1940_film)
167,getty_foundation,community_foundation,rockefeller_foundation
168,year,time,five_years
169,california,california_state_university,san_francisco
170,old_age,middle_age,youth
171,harbor,island,sailing_ship
172,academic_conference,panel_discussion,education
173,samuel_taylor_(american_football),brian_williams_(linebacker),bob_fisher_(baseball)
174,new_york_city,new_york_university,ravenna
175,white_american,african_americans,racial_segregation
176,weather,day,summer
177,internet,social_media,web_portal
178,center_theatre_group,performing_arts_center,theatre_iv
179,pulitzer_prize,national_book_award,nobel_prize
180,is_survived_by,marriage,death
181,hudson_valley,hudson_river,the_westchester
182,saturday,tuesday,sunday
183,student,university_college,university
184,air_force,united_states_marine_corps,united_states_army
185,local_community,project,community_participation
186,bronze_sculpture,stone_sculpture,sculpture_garden
187,jury_trial,obstruction_of_justice,miscarriage_of_justice
188,white_house,bill_clinton,hillary_clinton
189,town,valley,county
190,political_culture,politics,intellectual
191,film_festival,sundance_film_festival,film
192,travel_agency,international_airport,from_the_airport
193,university,public_university,fudan_university
194,street,art_museum,main_street
195,oklahoma_city,oklahoma_city_university,university_of_tulsa
196,science,scientist,social_science
197,high_school,college,education
